date,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths,mortality_rate_confirmed
6/17/21,Alabama,1,548323,11288,421782,8963,126541,2325,0.020586406
6/17/21,Alaska,2,70183,356,0,356,70183,0,0.005072453
6/17/21,Arizona,4,888005,17791,,,,,0.020034797
6/17/21,Arkansas,5,344657,5867,268727,4657,75930,1210,0.017022721
6/17/21,California,6,3805203,63223,3779899,63196,25304,27,0.016614882
6/17/21,Colorado,8,555248,6852,,,,,0.012340432
6/17/21,Connecticut,9,348560,8265,,,,,0.023711843
6/17/21,Delaware,10,109418,1679,,,,,0.015344824
6/17/21,District of Columbia,11,49223,1139,49223,1139,0,0,0.023139589
6/17/21,Florida,12,2300786,37265,0,37265,2300786,0,0.016196639
6/17/21,Georgia,13,1105234,20544,876364,17860,228870,2684,0.018587919
6/17/21,Hawaii,15,35831,504,,,,,0.014066032
6/17/21,Idaho,16,193997,2125,155286,1850,38711,275,0.010953778
6/17/21,Illinois,17,1392390,25531,1253644,23168,138746,2363,0.018336098
6/17/21,Indiana,18,753511,13763,750170,13343,3341,420,0.018265161
6/17/21,Iowa,19,372837,6109,307424,,65413,,0.016385176
6/17/21,Kansas,20,317938,5161,,,,,0.016232725
6/17/21,Kentucky,21,463948,7222,,,,,0.0155664
6/17/21,Louisiana,22,476792,10670,402689,9666,74103,1004,0.022378731
6/17/21,Maine,23,68683,853,50218,853,18465,0,0.012419376
6/17/21,Maryland,24,461687,9695,461470,9478,217,217,0.020999075
6/17/21,Massachusetts,25,709080,17953,662966,17590,46114,363,0.025318723
6/17/21,Michigan,26,996275,20808,891237,19593,105038,1215,0.0208858
6/17/21,Minnesota,27,604145,7616,560236,7106,43909,510,0.012606245
6/17/21,Mississippi,28,319511,7368,195630,5078,123881,2290,0.023060239
6/17/21,Missouri,29,623721,9828,549622,4676,74099,5152,0.015757045
6/17/21,Montana,30,113128,1649,113128,1649,0,0,0.014576409
6/17/21,Nebraska,31,223931,2517,70301,621,153630,1896,0.011240069
6/17/21,Nevada,32,328194,5635,328194,5635,0,0,0.017169723
6/17/21,New Hampshire,33,99196,1364,0,,99196,,0.013750554
6/17/21,New Jersey,34,1020326,26352,890696,23667,129630,2685,0.02582704
6/17/21,New Mexico,35,204472,4307,204472,4307,0,0,0.021064009
6/17/21,New York,36,2108535,52995,2093205,47914,15330,5081,0.025133564
6/17/21,North Carolina,37,1010314,13333,861178,11769,149136,1564,0.013196887
6/17/21,North Dakota,38,110523,1553,101369,,9154,,0.014051374
6/17/21,Northern Mariana Islands,69,183,2,183,2,0,0,0.010928962
6/17/21,Ohio,39,1107902,20122,,,,,0.018162256
6/17/21,Oklahoma,40,455145,7354,0,7354,455145,0,0.016157488
6/17/21,Oregon,41,205780,2775,0,,205780,,0.013485276
6/17/21,Pennsylvania,42,1214051,27582,,,,,0.02271898
6/17/21,Rhode Island,44,152333,2723,0,,152333,,0.017875313
6/17/21,South Carolina,45,595310,9786,492810,8619,102500,1167,0.016438494
6/17/21,South Dakota,46,124382,2026,109077,,15305,,0.01628853
6/17/21,Tennessee,47,852863,12405,698523,2023,154340,10382,0.014545126
6/17/21,Texas,48,2975716,52185,2533962,24048,441754,28137,0.017536956
6/17/21,Utah,49,410447,2324,0,2254,410447,70,0.00566212
6/17/21,Vermont,50,24348,256,0,,24348,,0.010514211
6/17/21,Virginia,51,678226,11330,,,,,0.016705346
6/17/21,Washington,53,447720,5850,413229,1948,34491,3902,0.013066202
6/17/21,West Virginia,54,163311,2861,127575,2396,35736,465,0.017518722
6/17/21,Wisconsin,55,676655,8041,611845,7230,64810,811,0.011883456
6/17/21,Wyoming,56,61359,734,51635,,9724,,0.011962385